название вакансии,URL,Название компании,Описание
Python developer (автотесты).,https://hh.ru/vacancy/30005963?query=Python, NetworkOptix,"Продукт — система видеонаблюдения NX Witness — кроссплатформенный коробочный продукт, работающий распределенно в сетях. Тесты — Python-проект для работы с виртуальными машинами...Умение и опыт работы в команде. Уверенные знания Python. Навыки в траблшутинге: Wireshark и аналоги, strace/procmon и аналоги, gdb..."
Python разработчик / Python Developer,https://hh.ru/vacancy/30069573?query=Python, Marilyn System Russia,"Разрабатывать новые инструменты и алгоритмы, автоматизирующие управление рекламными кампаниями и повышающие их эффективность. Дорабатывать существующие возможности и инструменты системы под...Фундаментальные знания языка Python, умение писать поддерживаемый, читаемый и тестируемый код. Умение или желание научиться писать тесты на свой (и..."
Программист Python,https://hh.ru/vacancy/30837974?query=Python," Insilico Medicine, Inc",Алгоритмическая подготовка.Техническое образование или эквивалентный практический опыт. Хороший опыт разработки на Python. Опыт разработки веб-приложений.
Программист Python,https://hh.ru/vacancy/30615541?query=Python,ООО АМИКОН,"Поддержка, сопровождение и разработка дополнительной функциональности тестового стенда. Подготовка сценариев для автоматизации тестирования.Чтение и понимание кода на С, достаточное для переписывания кода на Python при необходимости. Опыт написания нагрузочных, функциональных и модульных..."
Python-Developer,https://hh.ru/vacancy/31002272?query=Python, BHAGs,"Разработка системы сбора данных тематических сайтов с последующим анализом данных. Анализ данных / Машинное обучение. Прогнозирование на основе текущей ситуации на...Опыт работы по направлению от 1 года. Уверенные навыки Python 3, знание стандартных структур данных, написание скриптов обработки данных. "
Python-Разработчик/Python Developer,https://hh.ru/vacancy/31101537?query=Python, BestDoctor,"Backend-разработка внутренних продуктов. Участие в формировании технической стратегии BestDoctor и ее реализация. Проведение code review. Покрытие кодовой базы тестами.Опыт web-разработки на Python не менее 2 лет. Опыт работы с Django от года. Хорошее знание Git, PostgreSQL. "
Разработчик Python,https://hh.ru/vacancy/30451399?query=Python, Открытые Технологии,"Реализация нового функционала. Проведение code-review. Анализ чужого кода. Участие в проектировании архитектуры системы.Знание языка Python (версия 2 и 3). Опыт работы с фреймворками: Tornado (async), Flask, Bottle. Опыт написания SQL запросов. "
Старший Python-Разработчик/Senior Python Developer,https://hh.ru/vacancy/31101513?query=Python, BestDoctor,Разработка backend-составляющей нового продукта. Интеграция продукта в существующую систему. Участие в формировании технической стратегии BestDoctor и ее реализация. Опыт web-разработки на Python не менее 3 лет. Опыт работы с Django от двух лет. Хорошее знание Django ORM. 
"Программист Python, C++",https://hh.ru/vacancy/30616175?query=Python,ООО АМИКОН,Участие в развитии и сопровождении перспективного продукта компании (администратора сети из ФПСУ-IP).Очень хорошее знание Python3 и опыт написания на нем программ не менее года. Знание Qt (PyQt) и опыт написания...
Разработчик Python (Junior),https://hh.ru/vacancy/31098891?query=Python, МФТИ ГУ,"разработка, рефакторинг и документирование компонентов ядра библиотеки с открытым кодом DeepPavlov.знание Python 3 и стандартной библиотеки. - базовые знания алгоритмов и структур данных. - желание писать код, который не стыдно выкладывать в..."
Разработчик Python,https://hh.ru/vacancy/31067847?query=Python,ООО Коннектом,"Connectome.ai -- молодая, динамичная команда разработчиков, решающая различные задачи связанные с видеоаналитикой и искусственным интеллектом. В данный момент мы развиваем два...Инициативность и целеустремленность. Хорошее знание Python (или опыт на другом стеке с желанием выучить Python). Понимание и практический опыт в..."
Python / Django developer,https://hh.ru/vacancy/30226206?query=Python, NetworkOptix,"Creating, supporting and developing a set of projects (Django applications): Licensing management portal. Various management and automatization tools for partners. Bachelor or master degree in STEM field. Expert working knowledge of Python and Django framework. Hands-on experience with SQL. "
Data Engineering Team Lead (Python / C++),https://hh.ru/vacancy/31078426?query=Python, DataFork,"Автоматизация процессов сбора, хранения и анализа данных из открытых и закрытых источников (ETL / CMC). Автоматизация процессов обработки, «обогащения» и нормализации...Умение читать / писать код на python и С++. Опыт разработки в среде linux. Опыт руководства командой 3-5 человек. "
Программист Python,https://hh.ru/vacancy/30109493?query=Python, Star-staff,"Написание различных обработчиков и преобразователей данных от клиентов (json, xml, csv и т.д.). Создание и управление очередями для задач...Коммерческий опыт на Python минимум 2-3 года. Опыт с Python 3+. Хороший навык работы с различными БД (SQL..."
Разработчик Python,https://hh.ru/vacancy/30424698?query=Python,ООО ВижнЛабс (VisionLabs),"Разработка архитектуры сервисов распознавания лиц и компьютерного зрения, поддержка и развитие функционала. - Создание внешних API для работы с партнёрами. - Необходимый опыт и знания: - Широкий опыт разработки на Python (3.x) от 2х лет. - Глубокое знание одного или нескольких..."
Python Developer,https://hh.ru/vacancy/30618448?query=Python, LLC ICONIC,"Разработка web сервисов на протоколе GraphQL. Разработка микросервисов. Интеграции с blockchain нодами.Опыт разработки на Python не менее 3 лет, разработки на >=Python 3.6. Навык работы с SQLAlchemy. Навык работы PostgreSQL. "
Программист Python,https://hh.ru/vacancy/30405924?query=Python,ООО ВойсЛинк,"Разработка программного обеспечения встраиваемых систем под Linux и десктопных приложений под Windows. Поддержка кода, написание сопроводительной документации.Опыт коммерческой разработки на Python от 2-х лет. Умение проверять свой код. Опыт работы с реляционными базами данных. "
